Time,Amount,Class,hour_of_day,day_index,is_off_hours,amount_bucket,behavioral_outlier_count,severe_outlier_count,behavioral_peak_abs,extreme_behavior_flag,rule_decision,rule_decision_reason,risk_score,score_decision,score_decision_reason,score_reason_detail
95286.0,18910.0,0,2,1,1,very_high,21,15,60.4646176556493,1,REJECT,Very high anomaly intensity,99,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
86624.0,2018.09,0,0,1,1,very_high,17,13,17.39968976469,1,REJECT,Very high anomaly intensity,99,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
18088.0,1218.89,1,5,0,1,very_high,17,12,21.9228110340575,1,REJECT,Very high anomaly intensity,99,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
1264.0,7712.43,0,0,0,1,very_high,15,9,34.3031768568354,1,REJECT,Very high anomaly intensity,99,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
101160.0,5707.82,0,4,1,1,very_high,11,6,19.220335721737,1,REJECT,Extreme anomaly stack with multiple severe signals,99,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
103891.0,4462.71,0,4,1,1,very_high,10,8,14.3749305485229,1,REJECT,Extreme anomaly stack with multiple severe signals,99,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
8592.0,845.73,0,2,0,1,high,17,7,25.6405269308442,1,REJECT,Very high anomaly intensity,95,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
100384.0,779.86,0,3,1,1,high,16,7,25.3779909561627,1,REJECT,Very high anomaly intensity,95,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
17838.0,766.36,1,4,0,1,high,15,14,18.3888105354245,1,REJECT,Very high anomaly intensity,95,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
5406.0,553.6,0,1,0,1,high,14,7,8.73342906503845,1,REJECT,Very high anomaly intensity,95,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
2507.0,544.62,0,0,0,1,high,12,8,22.5885467650709,1,REJECT,Extreme anomaly stack with multiple severe signals,95,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
166198.0,25691.16,0,22,1,0,very_high,26,22,120.589493945238,1,REJECT,Very high anomaly intensity,85,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
48401.0,19656.53,0,13,0,0,very_high,20,15,63.3446983175027,1,REJECT,Very high anomaly intensity,85,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
142019.0,5964.95,0,15,1,0,very_high,20,15,37.5580671123523,1,REJECT,Very high anomaly intensity,85,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
122723.0,1676.6,0,10,1,0,very_high,20,11,35.2740102335273,1,REJECT,Very high anomaly intensity,85,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
121450.0,4861.64,0,9,1,0,very_high,19,13,28.2627748318304,1,REJECT,Very high anomaly intensity,85,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
121340.0,4543.64,0,9,1,0,very_high,19,11,22.1322231440893,1,REJECT,Very high anomaly intensity,85,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
146082.0,2687.48,0,16,1,0,very_high,19,8,20.9431032182443,1,REJECT,Very high anomaly intensity,85,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
136137.0,1676.6,0,13,1,0,very_high,19,14,40.0425374953845,1,REJECT,Very high anomaly intensity,85,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
141812.0,1417.29,0,15,1,0,very_high,19,12,34.6143744905174,1,REJECT,Very high anomaly intensity,85,REJECT,Severe anomaly stack pushed score above reject threshold,"very high anomaly count, multiple severe anomalies, extreme feature spike"
103916.0,3774.7,0,4,1,1,very_high,9,7,12.2238964338776,1,REVIEW,Strong anomaly pattern requires analyst review,89,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, multiple severe anomalies, extreme feature spike"
86903.0,2476.7,0,0,1,1,very_high,9,8,26.5578691080168,1,REVIEW,Strong anomaly pattern requires analyst review,89,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, multiple severe anomalies, extreme feature spike"
10201.0,1895.88,0,2,0,1,very_high,8,6,10.4779776426617,1,REVIEW,Strong anomaly pattern requires analyst review,89,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, multiple severe anomalies, extreme feature spike"
8544.0,4002.88,0,2,0,1,very_high,7,5,11.9438919789798,1,REVIEW,Extreme feature movement requires analyst review,89,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, multiple severe anomalies, extreme feature spike"
101216.0,632.9,0,4,1,1,high,8,7,16.393742581927,1,REVIEW,Strong anomaly pattern requires analyst review,85,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, multiple severe anomalies, extreme feature spike"
90054.0,500.0,0,1,1,1,medium,7,5,13.786763931323,1,REVIEW,Extreme feature movement requires analyst review,85,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, multiple severe anomalies, extreme feature spike"
